Tag,Colony,Date,total_followed,total_movement,total_follower,count,sex,age,Total_Adults,Total_Adult_Females,Total_Adult_Males,Total_Subadults,Total_Juveniles,Group_Size
566,29D,17/08/2012,0,4,0,12,2,1,6,4,2,1,1,8
566,29D,18/06/2012,0,1,0,1,2,1,5,4,1,3,0,8
571,1,28/06/2012,0,2,0,3,2,1,3,3,0,1,0,5
571,68,02/06/2012,2,14,0,36,2,1,3,3,0,0,0,3
571,68,16/06/2012,0,1,0,15,2,1,3,3,0,0,0,3
571,68,19/06/2012,0,5,0,17,2,1,3,2,1,0,0,3
571,68,28/06/2012,0,2,0,3,2,1,1,1,0,0,0,1
571,68,29/06/2012,0,3,0,17,2,1,2,2,0,0,0,2
571,68,30/05/2012,0,2,0,16,2,1,3,3,0,0,0,3
571,68,30/06/2012,0,1,0,9,2,1,2,2,0,0,0,2
573,8.1,17/07/2012,0,1,0,17,1,1,9,4,5,4,0,13
573,16,29/06/2012,0,10,2,19,1,1,9,2,7,4,0,13
573,2A,29/05/2012,0,5,0,7,1,1,4,2,2,1,0,7
573,2B,13/06/2012,0,4,0,19,1,1,10,3,7,1,0,11
573,4,01/07/2012,0,7,0,31,1,1,6,0,6,2,0,8
573,4,30/05/2012,1,2,0,14,1,1,2,1,1,2,0,4
574,8.1,17/07/2012,0,6,0,12,2,1,9,4,5,4,0,13
574,4,17/07/2012,0,6,0,12,2,1,2,1,1,2,0,4
574,4,30/05/2012,0,3,0,25,2,1,2,1,1,2,0,4
574,68,02/06/2012,1,9,0,35,2,1,3,3,0,0,0,3
574,68,16/06/2012,0,1,0,4,2,1,3,3,0,0,0,3
574,68,30/05/2012,0,3,0,25,2,1,3,3,0,0,0,3
576,8.1,17/07/2012,0,3,0,14,1,1,9,4,5,4,0,13
576,1,29/07/2012,0,4,0,12,1,1,7,2,5,1,0,9
576,16,29/06/2012,0,21,3,23,1,1,9,2,7,4,0,13
576,2B,13/06/2012,0,6,0,7,1,1,10,3,7,1,0,11
576,2C/22,13/06/2012,0,6,0,7,1,1,1,0,1,0,0,1
576,3,01/07/2012,0,12,0,29,1,1,4,0,4,0,0,4
576,4,01/07/2012,0,12,0,29,1,1,6,0,6,2,0,8
576,4,17/07/2012,0,3,0,14,1,1,2,1,1,2,0,4
577,1,01/07/2012,0,1,0,8,2,1,2,2,0,1,0,4
577,1,01/08/2012,0,8,0,12,2,1,2,2,0,1,0,4
577,1,02/08/2012,0,6,0,37,2,1,4,1,3,1,0,6
577,1,03/08/2012,0,5,0,16,2,1,3,1,2,1,0,5
577,1,07/06/2012,0,1,0,2,2,1,2,2,0,0,0,2
577,1,10/08/2012,0,9,1,31,2,1,8,5,3,0,1,10
577,1,11/06/2012,0,3,0,16,2,1,2,2,0,1,0,5
